TAG attribution location,TAG citation group,citation group,TAG confidence,TAG data cited,TAG dataset reused,TAG other,TAG problem,TAG repository,TAG source,abstract,address,annote,booktitle,dataset_id,doi,file,institution,isbn,issn,journal,keywords,mendeley-tags,month,number,pages,pmid,publisher,school,title,type,url,volume,year,num_cites,weighted,annotated,duplicates
,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"Serganov A, Keiper S, Malinina L, Tereshko V, Skripkin E, H\""{o}bartner C, Polonskaia A, Phan AT, Wombacher R, Micura R, Dauter Z, J\""{a}schke A, Patel DJ. Structural basis for Diels-Alder ribozyme-catalyzed carbon-carbon bond formation. Nat Struct Mol Biol. 2005 Mar;12(3):218-24. Epub 2005 Feb 20. PubMed PMID: 15723077. 1YKQ Ligand-RNA crosspeaks. The crystal structure of G27 MUT in the presence of Mg2+ but absence of ligand/product showed that the RNA assumes a preformed structure (PDB:1YKQ) (Serganov et al., 2005).",deposit.ddb.de,1YKQ,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/deposit.ddb.de/Manoharan/Manoharan - 2009 - Time-resolved and Static NMR Characterization of the Structure and Folding Kinetics of the Diels-Alder Ribozyme.pdf:pdf,,,,,"GS,PDB,attribution in caption,data cited,dataset reused,medium confidence","GS,PDB,attribution in caption,data cited,dataset reused,medium confidence",,,129,,,"Johann Wolfgang Goethe-Universit\""{a}t",{Time-resolved and Static NMR Characterization of the Structure and Folding Kinetics of the Diels-Alder Ribozyme},,http://deposit.ddb.de/cgi-bin/dokserv?idn=997555092\&dok\_var=d1\&dok\_ext=pdf\&filename=997555092.pdf,,2009,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,PDB,GS,,,"Changela A, Martins A, Shuman S, Mondrag\'{o}n A. Crystal structure of baculovirus RNA triphosphatase complexed with phosphate. J Biol Chem. 2005 May 6;280(18):17848-56. Epub 2005 Feb 15. PubMed PMID: 15713658. 1YN9 When we superimposed the structure of baculovirus RNA triphosphatase28 (pdb code:1YN9) on our structure of DUSP5, the position of the bound phosphate ion, which is expected to be that of a-phosphate in RNA 50-triphosphate, completely coin- cided with that of our Sulf2 ion.",,1YN9,10.1002/prot.21224,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Proteins Structure, Function, and Bioinformatics/Jeong et al./Jeong et al. - 2007 - Crystal structure of the catalytic domain of human DUSP5, a dual specificity MAP kinase protein phosphatase.pdf:pdf",,,,"Proteins: Structure, Function, and Bioinformatics","GS,PDB,attribution in text,data cited,dataset reused,high confidence","GS,PDB,attribution in text,data cited,dataset reused,high confidence",,1,253--258,,Wiley Online Library,,"{Crystal structure of the catalytic domain of human DUSP5, a dual specificity MAP kinase protein phosphatase}",,http://onlinelibrary.wiley.com/doi/10.1002/prot.21224/full,66,2007,#N/A,1,1,
,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"Changela A, Martins A, Shuman S, Mondrag\'{o}n A. Crystal structure of baculovirus RNA triphosphatase complexed with phosphate. J Biol Chem. 2005 May 6;280(18):17848-56. Epub 2005 Feb 15. PubMed PMID: 15713658. 1YN9 Figure 3: 1); BVP is baculovirus nucleotide phosphatase (PDP 1YN9)",,1YN9,10.1002/prot.22041,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Proteins Structure, Function, and Bioinformatics/Aceti et al./Aceti et al. - 2008 - Structural and functional characterization of a novel phosphatase from the Arabidopsis thaliana gene locus At1g05000.pdf:pdf",,,,"Proteins: Structure, Function, and Bioinformatics","GS,PDB,attribution in caption,data cited,dataset reused,medium confidence","GS,PDB,attribution in caption,data cited,dataset reused,medium confidence",,1,241--253,,Wiley Online Library,,{Structural and functional characterization of a novel phosphatase from the Arabidopsis thaliana gene locus At1g05000},,http://onlinelibrary.wiley.com/doi/10.1002/prot.22041/full,73,2008,#N/A,1,1,
attribution in table,,,high confidence,data cited,dataset reused,,,PDB,GS,,,"Morais MC, Choi KH, Koti JS, Chipman PR, Anderson DL, Rossmann MG. Conservation of the capsid structure in tailed dsDNA bacteriophages: the pseudoatomic structure of phi29. Mol Cell. 2005 Apr 15;18(2):149-59. PubMed PMID: 15837419 1YXN",,1YXN,10.1107/S0907444908017393,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Acta Crystallographica Section D Biological Crystallography/Lawson et al./Lawson et al. - 2008 - Representation of viruses in the remediated PDB archive.pdf:pdf,,,,Acta Crystallographica Section D: Biological Crystallography,"GS,PDB,attribution in table,data cited,dataset reused as example,high confidence","GS,PDB,attribution in table,data cited,dataset reused as example,high confidence",,8,874--882,,International Union of Crystallography,,{Representation of viruses in the remediated PDB archive},,http://scripts.iucr.org/cgi-bin/paper?S0907444908017393,64,2008,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,PDB,GS,,,"Letts JA, Rose NL, Fang YR, Barry CH, Borisova SN, Seto NO, Palcic MM, Evans SV. Differential recognition of the type I and II H antigen acceptors by the human ABO(H) blood group A and B glycosyltransferases. J Biol Chem. 2006 Feb 10;281(6):3625-32. Epub 2005 Dec 2. PubMed PMID: 16326711. 1ZJ2",,1ZJ2,10.1111/j.1537-2995.2010.02670.x,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Transfusion/Hult et al./Hult et al. - 2010 - Weak A phenotypes associated with novel ABO alleles carrying the A2-related 1061C deletion and various missense substitutions.pdf:pdf,,,,Transfusion,"GS,PDB,attribution in text,data cited,dataset reused,high confidence","GS,PDB,attribution in text,data cited,dataset reused,high confidence",,7,1471--1486,,Wiley Online Library,,{Weak A phenotypes associated with novel ABO alleles carrying the A2-related 1061C deletion and various missense substitutions},,http://onlinelibrary.wiley.com/doi/10.1111/j.1537-2995.2010.02670.x/full,50,2010,#N/A,1,1,
attribution in table,,,high confidence,data cited,dataset reused,,,PDB,GS,,,"""Agarwal R, Binz T, Swaminathan S. Analysis of active site residues of botulinum neurotoxin E by mutational, functional, and structural studies: Glu335Gln is an apoenzyme. Biochemistry. 2005 Jun 14;44(23):8291-302. PubMed PMID: 15938619 1ZL6",,1ZL6,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Unknown/Swaminathan/Swaminathan - 2006 - Structural Studies on Intact Clostridium Botulinum Neurotoxins Complexed with Inhibitors Leading to Drug Design.pdf:pdf,DTIC Document,,,,"GS,PDB,attribution in table,data cited,dataset reused,high confidence","GS,PDB,attribution in table,data cited,dataset reused,high confidence",,,,,,,{Structural Studies on Intact Clostridium Botulinum Neurotoxins Complexed with Inhibitors Leading to Drug Design},,http://oai.dtic.mil/oai/oai?verb=getRecord\&metadataPrefix=html\&identifier=ADA466700,,2006,#N/A,1,1,
attribution in table,,,medium confidence,data cited,dataset reused,,,PDB,GS,"The nuclear magnetic resonance (NMR) structure of a central segment of the previously annotated severe acute respiratory syndrome (SARS)-unique domain (SUD-M, for ""middle of the SARS-unique domain"") in SARS coronavirus (SARS-CoV) nonstructural protein 3 (nsp3) has been determined. SUD-M(513-651) exhibits a macrodomain fold containing the nsp3 residues 528 to 648, and there is a flexibly extended N-terminal tail with the residues 513 to 527 and a C-terminal flexible tail of residues 649 to 651. As a follow-up to this initial result, we also solved the structure of a construct representing only the globular domain of residues 527 to 651 [SUD-M(527-651)]. NMR chemical shift perturbation experiments showed that SUD-M(527-651) binds single-stranded poly(A) and identified the contact area with this RNA on the protein surface, and electrophoretic mobility shift assays then confirmed that SUD-M has higher affinity for purine bases than for pyrimidine bases. In a further search for clues to the function, we found that SUD-M(527-651) has the closest three-dimensional structure homology with another domain of nsp3, the ADP-ribose-1""-phosphatase nsp3b, although the two proteins share only 5\% sequence identity in the homologous sequence regions. SUD-M(527-651) also shows three-dimensional structure homology with several helicases and nucleoside triphosphate-binding proteins, but it does not contain the motifs of catalytic residues found in these structural homologues. The combined results from NMR screening of potential substrates and the structure-based homology studies now form a basis for more focused investigations on the role of the SARS-unique domain in viral infection.",,"Kustatscher G, Hothorn M, Pugieux C, Scheffzek K, Ladurner AG. Splicing regulates NAD metabolite binding to histone macroH2A. Nat Struct Mol Biol. 2005 Jul;12(7):624-5. Epub 2005 Jun 19. PubMed PMID: 15965484. 1ZR5 TABLE 2. Protein structures with z values of î€Å5 identified by a DALI search of the PDB with SUD-M(527î€‚651",,1ZR5,10.1128/JVI.01781-08,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of virology/Chatterjee et al./Chatterjee et al. - 2009 - Nuclear magnetic resonance structure shows that the severe acute respiratory syndrome coronavirus-unique domain contains a macrodomain fold.pdf:pdf,,,1098-5514,Journal of virology,"Electrophoretic Mobility Shift Assay,GS,Magnetic Resonance Spectroscopy,Models,Molecular,PDB,Protein Binding,Protein Structure,RNA,RNA Replicase,RNA Replicase: chemistry,RNA-Binding Proteins,RNA-Binding Proteins: chemistry,RNA: metabolism,SARS Virus,SARS Virus: chemistry,Tertiary,Viral Nonstructural Proteins,Viral Nonstructural Proteins: chemistry,attribution in table,data cited,dataset reused,medium confidence","GS,PDB,attribution in table,data cited,dataset reused,medium confidence",February,4,1823--36,19052085,Am Soc Microbiol,,{Nuclear magnetic resonance structure shows that the severe acute respiratory syndrome coronavirus-unique domain contains a macrodomain fold.},,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2643772\&tool=pmcentrez\&rendertype=abstract,83,2009,#N/A,1,1,
attribution in table,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"Pautsch A, Vogelsgesang M, Tr\""{a}nkle J, Herrmann C, Aktories K. Crystal structure of the C3bot-RalA complex reveals a novel type of action of a bacterial exoenzyme. EMBO J. 2005 Oct 19;24(20):3670-80. Epub 2005 Sep 22. PubMed PMID: 16177825; PubMed Central PMCID: PMC1276701. 2A78",,2A78,10.1002/prot.22550,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Proteins Structure, Function, and Bioinformatics/Ravikant, Elber/Ravikant, Elber - 2010 - PIEâ€”Efficient filters and coarse grained potentials for unbound proteinâ€“protein docking.pdf:pdf",,,,"Proteins: Structure, Function, and Bioinformatics","GS,PDB,attribution in table,data cited,dataset reused,medium confidence","GS,PDB,attribution in table,data cited,dataset reused,medium confidence",,2,400--419,,Wiley Online Library,,{PIEâ€”Efficient filters and coarse grained potentials for unbound proteinâ€“protein docking},,http://onlinelibrary.wiley.com/doi/10.1002/prot.22550/full,78,2010,#N/A,1,1,
attribution in text,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"Pautsch A, Vogelsgesang M, Tr\""{a}nkle J, Herrmann C, Aktories K. Crystal structure of the C3bot-RalA complex reveals a novel type of action of a bacterial exoenzyme. EMBO J. 2005 Oct 19;24(20):3670-80. Epub 2005 Sep 22. PubMed PMID: 16177825; PubMed Central PMCID: PMC1276701. 2A78 A comparison of RalBÂ·GMPPNP, RalAÂ·GMPPNP (PDBcode 1U8Y (27)), RalAÂ·GDP (24), RalAÂ·GMPPNP in the complexes with Sec5 (1UAD (28)) and Exo84 (1ZC3 (29)), and RalAÂ·GDP in complex with the C. botulinum C3 exoenzyme (C3 Bot) (2A78 (30)) shows that the Ral structures are generally similar, with RMSDs across the backbone atoms of 1-2 \AA (Table 3, Figure 8).",,2A78,10.1021/bi802129d,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Biochemistry/Fenwick et al./Fenwick et al. - 2009 - Solution Structure and Dynamics of the Small GTPase RalB in Its Active Conformation Significance for Effector Protein Binding.pdf:pdf,,,,Biochemistry,"GS,PDB,attribution in table,attribution in text,data cited,dataset reused,medium confidence","GS,PDB,attribution in table,attribution in text,data cited,dataset reused,medium confidence",,10,2192--2206,,ACS Publications,,{Solution Structure and Dynamics of the Small GTPase RalB in Its Active Conformation: Significance for Effector Protein Binding},,http://pubs.acs.org/doi/abs/10.1021/bi802129d,48,2009,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,PDB,GS,,,"Kustatscher G, Hothorn M, Pugieux C, Scheffzek K, Ladurner AG. Splicing regulates NAD metabolite binding to histone macroH2A. Nat Struct Mol Biol. 2005 Jul;12(7):624-5. Epub 2005 Jun 19. PubMed PMID: 15965484. 1ZR5 This ensemble included structures of similar fold as predicted by FFAS03 (Ref. 53; PDB codes: 1YD9, 1ZR3, 2DX6, 1SPV, 1ZR5, 2ACF) and previously solved structures of the X-domain from HCoV NL63 (Piotrowski",,2ACF,10.1002/pro.15,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Protein Science/Piotrowski et al./Piotrowski et al. - 2009 - Crystal structures of the X-domains of a Group-1 and a Group-3 coronavirus reveal that ADP-ribose-binding may not be a conserved property.pdf:pdf,,,,Protein Science,"GS,PDB,attribution in text,data cited,dataset reused,high confidence","GS,PDB,attribution in text,data cited,dataset reused,high confidence",,1,6--16,,Wiley Online Library,,{Crystal structures of the X-domains of a Group-1 and a Group-3 coronavirus reveal that ADP-ribose-binding may not be a conserved property},,http://onlinelibrary.wiley.com/doi/10.1002/pro.15/full,18,2009,#N/A,1,1,
attribution in text,,,medium confidence,data cited,dataset reused,,,PDB,GS,"Peroxiredoxins (Prxs) are a widespread and highly expressed family of cysteine-based peroxidases that react very rapidly with Hâ‚‚Oâ‚‚, organic peroxides, and peroxynitrite. Correct subfamily classification has been problematic because Prx subfamilies are frequently not correlated with phylogenetic distribution and diverge in their preferred reductant, oligomerization state, and tendency toward overoxidation. We have developed a method that uses the Deacon Active Site Profiler (DASP) tool to extract functional-site profiles from structurally characterized proteins to computationally define subfamilies and to identify new Prx subfamily members from GenBank(nr). For the 58 literature-defined Prx test proteins, 57 were correctly assigned, and none were assigned to the incorrect subfamily. The >3500 putative Prx sequences identified were then used to analyze residue conservation in the active site of each Prx subfamily. Our results indicate that the existence and location of the resolving cysteine vary in some subfamilies (e.g., Prx5) to a greater degree than previously appreciated and that interactions at the A interface (common to Prx5, Tpx, and higher order AhpC/Prx1 structures) are important for stabilization of the correct active-site geometry. Interestingly, this method also allows us to further divide the AhpC/Prx1 into four groups that are correlated with functional characteristics. The DASP method provides more accurate subfamily classification than PSI-BLAST for members of the Prx family and can now readily be applied to other large protein families.",,"Vedadi M, Lew J, Artz J, Amani M, Zhao Y, Dong A, Wasney GA, Gao M, Hills T, Brokx S, Qiu W, Sharma S, Diassiti A, Alam Z, Melone M, Mulichak A, Wernimont A, Bray J, Loppnau P, Plotnikova O, Newberry K, Sundararajan E, Houston S, Walker J, Tempel W, Bochkarev A, Kozieradzki I, Edwards A, Arrowsmith C, Roos D, Kain K, Hui R. Genome-scale protein expression and structural biology of Plasmodium falciparum and related Apicomplexan organisms. Mol Biochem Parasitol. 2007 Jan;151(1):100-10. Epub 2006 Nov 13. PubMed PMID: 17125854. 2AV4 The sequence of a single chain from two PDB struc-tures from each subfamily (except for AhpE, which has only one) was used as a query to search the Genbank(nr) sequence database with PSI-BLAST39 (1xxu, AhpE; 1xiy and 1hd2, Prx5; 2cx3 and 2av4, BCP;",,2AV4,10.1002/prot.22936,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Proteins/Nelson et al./Nelson et al. - 2011 - Analysis of the peroxiredoxin family using active-site structure and sequence information for global classification and residue analysis.pdf:pdf,,,1097-0134,Proteins,"Amino Acid,Amino Acid Sequence,Catalytic Domain,Entropy,GS,Models,Molecular,Molecular Sequence Data,PDB,Peroxiredoxins,Peroxiredoxins: chemistry,Phylogeny,Sequence Homology,attribution in text,data cited,dataset reused,medium confidence","GS,PDB,attribution in text,data cited,dataset reused,medium confidence",March,3,947--64,21287625,,,{Analysis of the peroxiredoxin family: using active-site structure and sequence information for global classification and residue analysis.},,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3065352\&tool=pmcentrez\&rendertype=abstract,79,2011,#N/A,1,1,
attribution in table,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"""Shaikh TR, Thomas DR, Chen JZ, Samatey FA, Matsunami H, Imada K, Namba K, Derosier DJ. A partial atomic structure for the flagellar hook of Salmonella typhimurium. Proc Natl Acad Sci U S A. 2005 Jan 25;102(4):1023-8. Epub 2005 Jan 18. PubMed PMID: 15657146; PubMed Central PMCID: PMC545859 2BGY Table 1.6 The Protein Data Bank (PDB) accession number of the known structures of chemosensory system and flagellum apparatus",archiv.ub.uni-heidelberg.de,2BGY,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/archiv.ub.uni-heidelberg.de/Rajagopala/Rajagopala - 2006 - The protein-protein interaction map of the treponema pallidum flagellar apparatus.pdf:pdf,,,,,"GS,PDB,attribution in table,data cited,dataset reused,medium confidence","GS,PDB,attribution in table,data cited,dataset reused,medium confidence",,,157,,,"Ruprecht - Karls - Universit\""{a}t",{The protein-protein interaction map of the treponema pallidum flagellar apparatus},PhD,http://archiv.ub.uni-heidelberg.de/volltextserver/volltexte/2006/6577/,,2006,#N/A,1,1,
,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"""Flint J, Taylor E, Yang M, Bolam DN, Tailford LE, Martinez-Fleites C, Dodson EJ, Davis BG, Gilbert HJ, Davies GJ. Structural dissection and high-throughput screening of mannosylglycerate synthase. Nat Struct Mol Biol. 2005 Jul;12(7):608-14. Epub 2005 Jun 12. PubMed PMID: 15951819. 2BO7 The flexibility of residues 215â€“222 in the MGS, the complex structures presented in Ref. 14 ofMn2î€Åî€Å D-glycerate, citrate, Co2î€Åî€ÅGDP, and Mn2î€Åî€ÅGDP-mannose (PDB codes 2BO4, 2BO6, 2BO7, and 2BO8, respectively) are highlighted in red, blue, yellow, and magenta, respectively, overlapped with Mg2î€Åî€ÅGDP-mannose presented herein.",,2BO8,10.1074/jbc.M110.199844,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of Biological Chemistry/Nielsen et al./Nielsen et al. - 2011 - Substrate and Metal Ion Promiscuity in Mannosylglycerate Synthase(2).pdf:pdf,,,,Journal of Biological Chemistry,"GS,PDB,attribution in caption,data cited,dataset reused,medium confidence","GS,PDB,attribution in caption,data cited,dataset reused,medium confidence",,17,15155,,ASBMB,,{Substrate and Metal Ion Promiscuity in Mannosylglycerate Synthase},,http://www.jbc.org/content/286/17/15155.short,286,2011,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,PDB,GS,,,"Pandey AS, Nocek B, Clark DD, Ensign SA, Peters JW. Mechanistic implications of the structure of the mixed-disulfide intermediate of the disulfide oxidoreductase, 2-ketopropyl-coenzyme M oxidoreductase/carboxylase. Biochemistry. 2006 Jan 10;45(1):113-20. PubMed PMID: 16388586. 2C3D",,2C3D,10.1074/jbc.M511232200,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of Biological Chemistry/Rowland et al./Rowland et al. - 2006 - Crystal structure of human cytochrome P450 2D6.pdf:pdf,,,,Journal of Biological Chemistry,"GS,PDB,attribution in caption,attribution in text,data cited,dataset reused,high confidence","GS,PDB,attribution in caption,attribution in text,data cited,dataset reused,high confidence",,11,7614,,ASBMB,,{Crystal structure of human cytochrome P450 2D6},,http://www.jbc.org/content/281/11/7614.short,281,2006,#N/A,1,1,
attribution in table,,,high confidence,data cited,dataset reused,,,PDB,GS,"The method of joint probability distribution functions has been applied to molecular replacement techniques. The rotational search is performed by rotating the reciprocal lattice of the protein with respect to the calculated transform of the model structure; the translation search is performed by fast Fourier transform. Several cases of prior information are studied, both for the rotation and for the translation step: e.g. the conditional probability density for the rotation or the translation of a monomer is found both for ab initio and when the rotation and/or the translation values of other monomers are given. The new approach has been implemented in the program REMO09, which is part of the package for global phasing IL MILIONE [Burla, Caliandro, Camalli, Cascarano, De Caro, Giacovazzo, Polidori, Siliqi \& Spagna (2007). J. Appl. Cryst. 40, 609-613]. A large set of test structures has been used for checking the efficiency of the new algorithms, which proved to be significantly robust in finding the correct solutions and in discriminating them from noise. An important design concept is the high degree of automatism: REMO09 is often capable of providing a reliable model of the target structure without any user intervention.",,"Holmes MA, Buckner FS, Van Voorhis WC, Verlinde CL, Mehlin C, Boni E, DeTitta G, Luft J, Lauricella A, Anderson L, Kalyuzhniy O, Zucker F, Schoenfeld LW, Earnest TN, Hol WG, Merritt EA. Structure of ribose 5-phosphate isomerase from Plasmodium falciparum. Acta Crystallogr Sect F Struct Biol Cryst Commun. 2006 May 1;62(Pt 5):427-31. Epub 2006 Apr 12. PubMed PMID: 16682767; PubMed Central PMCID: PMC2219984. 2F8M Table 1.",,2F8M,10.1107/S0108767309035612,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Acta crystallographica. Section A, Foundations of crystallography/Caliandro et al./Caliandro et al. - 2009 - Molecular replacement the probabilistic approach of the program REMO09 and its applications.pdf:pdf",,,1600-5724,"Acta crystallographica. Section A, Foundations of crystallography","GS,PDB,attribution in table,data cited,dataset reused,high confidence","GS,PDB,attribution in table,data cited,dataset reused,high confidence",November,Pt 6,512--27,19844034,International Union of Crystallography,,{Molecular replacement: the probabilistic approach of the program REMO09 and its applications.},,http://www.ncbi.nlm.nih.gov/pubmed/19844034,65,2009,#N/A,1,1,
attribution in text,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"""Bunkoczi G, Pasta S, Joshi A, Wu X, Kavanagh KL, Smith S, Oppermann U. Mechanism and substrate recognition of human holo ACP synthase. Chem Biol. 2007 Nov;14(11):1243-53. PubMed PMID: 18022563; PubMed Central PMCID: PMC2148441. 2BYD ADALI36 search revealed a structural similarityto two other, more distantly related proteins belonging to the group II PPT [B. subtilis Sfp (PDB code: 1QR0)20 and the Homo sapiens PPT (PDB code: 2BYD)] and one member of the group III PPT family [the PPT domain of the FAS-I from yeast (PDB code: 2PFF)].21,22",,2PFF,10.1016/j.jmb.2009.08.065,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Journal of molecular biology/Dym et al./Dym et al. - 2009 - Structure-Function Analysis of the Acyl Carrier Protein Synthase (AcpS) from Mycobacterium tuberculosis.pdf:pdf,,,,Journal of molecular biology,"GS,PDB,attribution in text,data cited,dataset reused,medium confidence","GS,PDB,attribution in text,data cited,dataset reused,medium confidence",,4,937--950,,Elsevier,,{Structure-Function Analysis of the Acyl Carrier Protein Synthase (AcpS) from Mycobacterium tuberculosis},,http://linkinghub.elsevier.com/retrieve/pii/S0022283609010912,393,2009,#N/A,1,1,
attribution in text,,,medium confidence,data cited,dataset reused,,,PDB,GS,,,"Holmes MA, Buckner FS, Van Voorhis WC, Verlinde CL, Mehlin C, Boni E, DeTitta G, Luft J, Lauricella A, Anderson L, Kalyuzhniy O, Zucker F, Schoenfeld LW, Earnest TN, Hol WG, Merritt EA. Structure of ribose 5-phosphate isomerase from Plasmodium falciparum. Acta Crystallogr Sect F Struct Biol Cryst Commun. 2006 May 1;62(Pt 5):427-31. Epub 2006 Apr 12. PubMed PMID: 16682767; PubMed Central PMCID: PMC2219984. 2F8M As a result, eight proteins were chosen for the molecular docking in this study (PDB ID: 1NW4, 1RL4, 1TQX, 1V8B, 2F8M, 2Q8Z, 2FOI, and 3B7P",,3B7P,10.1107/S0907444906030915,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Chinese Science Bulletin/Han et al./Han et al. - 2009 - Prediction of potential antimalarial targets of artemisinin based on protein information from whole genome of Plasmodium falciparum.pdf:pdf,,,,Chinese Science Bulletin,"GS,PDB,attribution in table,attribution in text,data cited,dataset reused,medium confidence","GS,PDB,attribution in table,attribution in text,data cited,dataset reused,medium confidence",,22,4234--4240,,Springer,,{Prediction of potential antimalarial targets of artemisinin based on protein information from whole genome of Plasmodium falciparum},,http://www.springerlink.com/index/K5V6050443384081.pdf,54,2009,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,Array Express,GS,,,"FoxM1 is required for execution of the mitotic program and chromosome stability. Jamila Laoukili; Matthijs Kooistra; Alexandra Br\'{a}s; Jos Kauw; Ron Kerkhoven; Ashby Morrison; Hans Clevers; Ren\'{e} Medema. Nat Cell Biol 7:126-136 (Nat Cell Biol), PubMed 15654331 E-MEXP-230 To investigate the transcription correlation between head-to-head genes, we mapped human head-to- head pairs to three human microarray datasets, E-MEXP-101, E-MEXP-230, and We selected three human microarray datasets, E- MEXP-101, E-MEXP-230, and The E-MEXP-230 dataset, the result of a time-course microarrayassay designed to identify FoxM1-regulated genes [29], has 18,560 array spots and 14 arrays (Table S7, â€˜â€˜E-MEXP-230â€™â€™ sheet). Of",,E-MEXP-230,10.1371/journal.pcbi.0020074,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/PLoS Comput Biol/Li et al./Li et al. - 2006 - Systematic analysis of head-to-head gene organization evolutionary conservation and potential biological relevance.pdf:pdf,,,,PLoS Comput Biol,"Array Express,GS,attribution in text,data cited,dataset reused,high confidence","Array Express,GS,attribution in text,data cited,dataset reused,high confidence",,7,e74,,,,{Systematic analysis of head-to-head gene organization: evolutionary conservation and potential biological relevance},,http://dx.plos.org/10.1371/journal.pcbi.0020074,2,2006,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,Array Express,GS,,,"Ij\""{a}s P, Nuotio K, Saksi J, Soinne L, Saimanen E, Karjalainen-Lindsberg ML, Salonen O, Sarna S, Tuimala J, Kovanen PT, Kaste M, Lindsberg PJ. Microarray analysis reveals overexpression of CD163 and HO-1 in symptomatic carotid plaques. Arterioscler Thromb Vasc Biol. 2007 Jan;27(1):154-60. Epub 2006 Nov 9. PubMed PMID: 17095719. E-MEXP-268 Caption: PR of atherosclerotic carotids from E-MEXP-268, a study performed on carotid bilateral stenosis in which the two carotids (indicated by couple of consecutive numbers in the Table) of four independent patients have been analyzed To compare our expression data with published expression profiles, we applied a meta-analysis approach to expression datasets of 8 carotid samples taken from Array Express data- base (E-MEXP-268) and 6 coronary controls retrieved from Gene Expression Omnibus (GSE3526, GSE7307), using row data only[46]. Normal",,E-MEXP-268,10.1186/1471-2164-10-13,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/BMC genomics/Cagnin et al./Cagnin et al. - 2009 - Reconstruction and functional analysis of altered molecular pathways in human atherosclerotic arteries.pdf:pdf,,,,BMC genomics,"Array Express,GS,attribution in caption,attribution in text,data cited,dataset reused,high confidence","Array Express,GS,attribution in caption,attribution in text,data cited,dataset reused,high confidence",,1,13,,BioMed Central Ltd,,{Reconstruction and functional analysis of altered molecular pathways in human atherosclerotic arteries},,http://www.biomedcentral.com/1471-2164/10/13,10,2009,#N/A,1,1,
attribution in text,,,high confidence,data cited,dataset reused,,,Array Express,GS,,,"Ij\""{a}s P, Nuotio K, Saksi J, Soinne L, Saimanen E, Karjalainen-Lindsberg ML, Salonen O, Sarna S, Tuimala J, Kovanen PT, Kaste M, Lindsberg PJ. Microarray analysis reveals overexpression of CD163 and HO-1 in symptomatic carotid plaques. Arterioscler Thromb Vasc Biol. 2007 Jan;27(1):154-60. Epub 2006 Nov 9. PubMed PMID: 17095719. E-MEXP-268 Detailed desription of all data and protocols were submitted to a public repository, ArrayExpress (http://www.ebi. ac.uk/miamexpress/login.htm, the accession number: E-MEXP-268).",,E-MEXP-268,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Unknown/Nuotio/Nuotio - 2007 - Molecular mediators linking stroke and carotid artery disease.pdf:pdf,,,,,"Array Express,GS,attribution in text,data cited,dataset reused,high confidence,same author","Array Express,GS,attribution in text,data cited,dataset reused,high confidence,same author",,,110,,Helsingin yliopisto,University of Helsinki,{Molecular mediators linking stroke and carotid artery disease},ACADEMIC DISSERTATION,http://www.doria.fi/handle/10024/5831,,2007,#N/A,1,1,
